name,MEM_MATCH_ID,xapa_ra,xapa_dec,rm_ra,rm_dec,z,r500,r500-,r500+,richness,richness_err,XCS_NAME,R_LAMBDA,xmm_targeted,xmm_serendipitous
SDSSXCS-9258,9258,159.50506,41.77219,159.50738644689508,41.773835642893935,0.1331,638.125,29.815,39.229,24.855,2.137,XMMXCS J103801.2+414619.8,0.75697446,Y,
SDSSXCS-1628,1628,160.18457,39.95309,160.18896087312652,39.913487619886,0.1431,887.844,13.459,13.461,42.84,2.586,XMMXCS J104044.2+395711.1,0.84405404,Y,
SDSSXCS-7405,7405,161.44015,4.34042,161.45207611241685,4.342384333545763,0.1505,792.244,27.637,27.674,27.128,2.221,XMMXCS J104545.6+042025.4,0.7703394,Y,
SDSSXCS-47,47,161.85007,15.24336,161.87087891344262,15.233911753538266,0.2086,855.37,20.606,20.685,127.658,5.309,XMMXCS J104724.0+151436.0,1.0500488000000001,Y,
SDSSXCS-7416,7416,164.23042,6.97694,164.230140079479,6.97812513599562,0.3231,624.127,45.974,59.86,35.472,3.082,XMMXCS J105655.3+065836.9,0.81278783,,Y
SDSSXCS-2588,2588,165.489,22.66179,165.49027454385725,22.660281114903736,0.2307,625.867,54.766,64.507,50.483,3.533,XMMXCS J110157.3+223942.4,0.87222576,,Y
SDSSXCS-298,298,168.22279,13.44452,168.20883290365225,13.475102786229607,0.1742,1010.971,15.467,15.47,78.339,3.517,XMMXCS J111253.4+132640.2,0.9523466,Y,
SDSSXCS-10897,10897,170.22943,43.30579,170.23224754530742,43.3076961388231,0.185,484.298,29.406,51.297,23.604,2.235,XMMXCS J112055.0+431820.8,0.7491966999999999,,Y
SDSSXCS-3746,3746,174.09881,7.22707,174.0988335634786,7.2270602429797375,0.1156,887.33,34.001,64.184,32.482,2.433,XMMXCS J113623.7+071337.4,0.7985989,Y,
SDSSXCS-189,189,175.60401,58.52631,175.60324812019962,58.53487722839746,0.335,1222.611,48.104,47.986,105.889,4.902,XMMXCS J114224.9+583134.7,1.0115100000000001,Y,
SDSSXCS-4245,4245,177.25939,22.41441,177.263413059465,22.410975519943644,0.1674,848.138,75.722,102.672,38.752,2.803,XMMXCS J114902.2+222451.8,0.82729137,,Y
SDSSXCS-408,408,178.82585,23.40676,178.82501455604046,23.404945038423424,0.1361,1231.415,18.358,18.358,82.259,3.923,XMMXCS J115518.2+232424.3,0.9616935999999999,Y,
